Code,Name,Description,Alternate Code,Label List,Enable Inventory,Unit Of Measure,Barcode,Manufacturer Code,Brand,Is Manual Order Approval Needed,Height,Width,Length,Weight,Is Archived,Internal Notes,External Notes,Tax Code,Cost Price,Sell Price Ex Tax,Sell Price Inc Tax,Minimum Stock Quantity,Override Sales GL Account Code,Override Purchase GL Account Code,Is Auto Archive When No Stock Enabled,Is Excluded From Order Consolidation,BoM Weight Calculated From Components,Photo Identifier
"PR17","Go Pro Hero 10 Black","All-out speed and ultimate ease come together in the most powerful GoPro ever, HERO10 Black. The revolutionary new GP2 chip shoots 5.3K video with double the frame rate of HERO9, 23MP photos, enhanced low-light performance and bar-shattering HyperSmooth 4.0 video stabilization in all modes.

Features & Benefits
23 MP Pictures
5.3K 60P, 4K 120P, 2.7K 240P
10M waterproof without a case
Hypersmooth 4.0
Timewarp 3.0
Horizon Leveling
Cloud Connected
Built in Mounting
Webcam Mode
1720mAh Battery
Compatible with all HERO9 Accessories","SL353",,Y,Each,,,"GoPro",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,494.78,569.00,0.0000,,,,,,Untitled design (1).jpg;Untitled design.jpg
"PR18","Go Pro Hero 5","Get ready to capture epic action footage with this pre-loved GoPro Hero 5.  It's in great condition, offering 4K30 video, image stabilization, and a waterproof build. Perfect for adventures at a fantastic price.  NZ seller.

CONDITION:

Great Condition: Fully functional and ready to capture your next adventure.
Tested: Ensures a positive experience for the new owner.

WHY BUY USED?

Save Money: Get the GoPro experience at a fantastic price.
Reliable: GoPros are known for their toughness","SL345",,Y,Each,,,"GoPro",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,260.00,299.00,0.0000,,,,,,WhatsApp Image 2024-03-04 at 2.39.50 PM.jpeg
"PR21","PS4 Original 500GB","Used PS4 Original 500GB 

Dive into a massive library of incredible games and exclusives. Perfect for catching up on PS4 classics at a great price!

This package includes a controller and all essential power and relevant cables for hassle-free setup and usage.","SL362",,Y,Each,,,"Sony",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,164.35,189.00,0.0000,,,N,N,,WhatsApp Image 2024-03-04 at 3.02.12 PM.jpeg
"PR22","PS4 Slim 500GB","Used PS4 Slim 500GB 

Access a massive library of incredible PlayStation games and exclusives at an affordable price.
Enjoy a huge library of games in a sleek and compact console. Perfect for entertainment setups.

This package includes a controller and all essential power and relevant cables for hassle-free setup and usage.","SL359",,Y,Each,,,"Sony",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,199.13,229.00,0.0000,,,N,N,,Untitled design (2).jpg
"PR23","Cygnett ChargeUp Reserve V2 20000 mAh 30w Power Bank - Blue","The power bank to charge faster and charge better. With an impressive 5.0 phone charges, and super speedy 30W fast charging, the ChargeUp Reserve 20,000 mAh Power Bank will take your phone from 0-50% battery in just 30 minutes. With triple charging capabilities through 2x USB-C as well as a USB-A port, with sleek design with digital display, its the ultimate power bank to keep your phone, iPad or Switch going as long as you can.","SL366",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,"Out of stock",,GST,0.00,94.78,109.00,0.0000,,,N,N,,Untitled design (3).jpg
"PR24","Amazon Echo Pop Smart Speaker with Alexa","Enjoy hands-free music, smart home control, and more with this compact Alexa-powered speaker. Colors may vary for a fun surprise!","SL368",,Y,Each,,,"Amazon",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,69.56,79.99,0.0000,,,,,,Untitled design (4).jpg
"PR25","Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Black / Gold","These earbuds offer powerful, balanced sound, Active Noise Cancelling (ANC), and Transparency mode. They also feature a sleek and stylish design.

Here are some key features of the Beats Studio Buds+:

Powerful, balanced sound: Enjoy your music with rich bass and clear highs.
Active Noise Cancelling (ANC): Block out unwanted ambient noise for a more immersive listening experience.
Transparency mode: Blend in your music with the sounds around you so you can stay aware of your surroundings.
Up to 36 hours of battery life: Get up to 9 hours of listening time from the earbuds and an additional 27 hours from the charging case.
Sweat and water resistant: These earbuds are IPX4-rated, so they can withstand light splashes and workouts.
Comfortable and secure fit: The earbuds come with four different ear tip sizes to ensure a comfortable and secure fit.","SL354",,Y,Each,,,"Beats",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,304.34,349.99,0.0000,,,,,,beats_1.jpg;Beats_3.jpg;beats_2.jpg
"PR26","Swann 1080p WiFi Pan/Tilt Indoor Camera With 32GB SD Memory Card","Brand: Swann
Model: 1080p WiFi Pan/Tilt Indoor Camera
Resolution: 1080p
Features:
Wi-Fi connectivity
Pan and tilt functionality
Night vision
32GB SD memory card included
Heat & motion-triggered mobile alerts","SL360",,Y,Each,,,"Swann",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,173.90,199.99,0.0000,,,,,,Untitled design (5).jpg
"PR27","14ft - 16ft WaterProof Heavy Duty Boat Cover - 2.28m Beam","Weather Protective Canvas Boat covers 14ft - 16 Foot


QUALITY Waterproof 600D Denier Polyester Canvas and Excellent Protection against Rain, Dirt & Dust, Ultra Violet Sunshine & Leaves etc...


Suitable for Boats Measuring: 4260mm - 4870mm (14ft.-16ft.)
Compatible with all NZ V-Hull Trailer Type Power Boats and Runabouts.


COLOUR: Grey


FEATURES:
Extra Roomy Cut
Duffel Storage Bag
Beam Width: 2286mm (90 inches)
Double Stitched Seams for Long Lasting Use
Non-Scratch D-Rings for Extra Hull Protection
Special Coated Fabric for Maximum Water Resistance
Elastic Cord All-around Bottom hem to Provide a Good Fit



BRAND NEW PRODUCT","SL001",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,195.43,224.75,0.0000,,,,,,SL001_1.jpg;SL001_2.jpg
"PR28","5 Person Dome Tent with Vestibule","5 Person Dome Tent with Vestibule - 3.8m Long x 2.6m Wide x 1.6m High

This spacious Dome Tent with Vestibule can easily accommodate up to 5 people and is ideal for outdoor summer trips.


FEATURES:
5 Person Tent
3.8m Long x 2.6m Wide x 1.6m High
Colour: Navy & Grey
1 Exit & 1.2m Vestibule
Removable Flysheet For Open-Top Sleeping
Water Repellent Flysheet
Front & Side Canopy (poles not included)
Power Cord Inlet
UPF 50+
Instruction Manual
Materials:
Polyester Inner Fabric, Flysheet & Carry Bag
B3 Mesh
Polyethylene Floor
Shock-Corded Fibreglass Poles
Steel Pegs


BASIC DIMENSIONS:
Overall (in bag): 600mm wide x 170mm deep x 220mm high
Tent (approx): 3800mm long x 2600mm wide x 1600mm high


BRAND NEW PRODUCT","SL002",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,222.97,256.42,0.0000,,,,,,SL002_1.jpg;SL002_2.jpg
"PR29","10 Person Dark Room Tent – Blocks Light & Heat – Summer Camping","Description: Beat the summer heat and sleep soundly in this spacious 10 Person Dark Room Tent! Its special sunlight block-out coating keeps the interior cool and dark, perfect for comfortable camping even during the day.

FEATURES:

Dark Room Technology: Blocks light and reduces heat for better sleep
Spacious 2-Room Design: Internal divider for privacy
Excellent Ventilation: Windows with vents, large door, mesh panels
Insect Protection: Keeps bugs out for peaceful nights
2 Power Cord Inlets: Conveniently charge devices
Front Canopy: Provides shaded outdoor space (include an image of the canopy!)
Materials: Polyester, mesh, fiberglass & steel poles & pegs
UV Protection: UVE 95+% effective
Easy 2-Person Setup

DIMENSIONS:

Overall: 4200mm wide x 3000mm deep x 2000mm high

Important Note: The tent material is UVE 95+%, however, UV exposure can still occur due to scattered and reflected radiation. Apply sunscreen liberally when camping outdoors.

BRAND NEW","SL003",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,503.48,579.00,0.0000,,,,,,SL003_1.jpg;SL003_2.jpg
"PR30","Large Folding Bamboo Picnic Table","Large Folding Bamboo Picnic Table - 92cm Long x 32cm Wide

This Large Bamboo Picnic Table is ideal for outdoor dining, is easy to set up and features some clever design to hold wine bottles and glasses while you eat.

>>> Listing is for 1x Table.
>>> Please enquire if you require Large Quantities


FEATURES:
Bamboo Picnic Table
Lightweight & Folds for Easy Transport & Storage
Food-Grade Safe Bamboo Construction
Quick & Easy to Set Up
Large Tabletop Surface Area
8 Cut-Outs for Wine Glasses
2 Cut-Outs for Wine Bottles



BASIC DIMENSIONS:
Overall: 920mm wide x 320mm wide x 190mm high

Please Note: Accessories not included.


BRAND NEW PRODUCT","SL004",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,164.93,189.67,0.0000,,,,,,SL004_1.jpg;SL004_2.jpg
"PR31","Binoculars 12x40 w/ Carry Bag Tinted Lens","Black Full-Size Binoculars
12x40


Excellent quality pair of binoculars ideal for long distance viewing.

Includes Canvas Carry Bag, Neck Strap and Cleaning Cloth.


FEATURES:
Tinted Lens
Magnification: 12x
Objective diameter: 38mm dia.
Eyepiece diameter: 22pmm dia.
Field of view: 168ft at 1000Yds
Adjustable Focus - Centre Focus Wheel and Adjustable Right Eye Piece
Removable Rubber Lens Caps


BASIC DIMENSIONS:
Overall: 150mm long x 185mm wide x 65mm high



BRAND NEW PRODUCT","SL005",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,150.43,172.99,0.0000,,,,,,SL005_1.jpg;SL005_2.jpg
"PR32","Maddog WS3 Mens Superstretch Springsuit 2mm Grey/Blue M","Men's Super Stretch Spring suit / Wet suit / Swim suit
MADDOG


Maddog Men's Super stretch spring suits / wetsuits are fantastic for surfing, snorkeling and general watersports.

The quality 2mm super stretch construction is designed for optimum comfort allowing you to make the most of your kiwi summer water sports.


FEATURES:
Color: Grey / Blue / Black
Size: Medium
2mm Super stretch Spring Suit
Flatlock Stitching
Comfortable Neck Closure

BASIC DIMENSIONS (laid flat):
Overall: 970mm long x 810mm wide
Armpit to Arm Opening: 245mm long
Armpit to Waist: 240mm long
Crotch to Leg Opening: 220mm long.
Neck Opening: 160mm wide
Arm Opening: 120mm wide.
Leg Opening: 200mm wide.


BRAND NEW PRODUCT","SL006",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,135.64,155.99,0.0000,,,,,,SL006_1.jpg;SL006_2.jpg
"PR33","Maddog WS3 Men's Super stretch Spring suit 2mm Grey/Blue XL","Men's Super Stretch Spring suit / Wet suit / Swim suit
MADDOG


Maddog Men's Super stretch spring suits / wetsuits are fantastic for surfing, snorkeling and general watersports.

The quality 2mm super stretch construction is designed for optimum comfort allowing you to make the most of your kiwi summer water sports.


FEATURES:
Color: Grey / Blue / Black
Size: X-Large
2mm Super stretch Spring suit
Flatlock Stitching
Comfortable Neck Closure


BASIC DIMENSIONS (laid flat):
Overall: 1040mm long x 870mm wide
Armpit to Arm Opening: 260mm long
Armpit to Waist: 300mm long
Crotch to Leg Opening: 300mm long.
Neck Opening: 160mm wide
Arm Opening: 135mm wide.
Leg Opening: 200mm wide.



BRAND NEW PRODUCT","SL007",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,135.64,155.99,0.0000,,,,,,SL007_1.jpg;SL007_2.jpg
"PR34","Crystal WS8 Ladies Super stretch Spring suit","Women's Super Stretch Spring suit / Wet suit / Swim suit
CRYSTAL


Crystal Womens Super stretch spring suits / wetsuits are fantastic for surfing, snorkeling and general watersports.

The quality 2mm super stretch construction is designed for optimum comfort allowing you to make the most of your kiwi summer water sports.


FEATURES:
Size: 14
Color: Blue / Black
2mm Super stretch Spring suit
Flatlock Stitching
Adjustable Neck Closure


BASIC DIMENSIONS (laid flat):
Overall: 950mm long x 760mm wide
Armpit to Arm Opening: 225mm long
Armpit to Waist: 300mm long
Crotch to Leg Opening: 240mm long.
Neck Opening: 130mm wide
Arm Opening: 110mm wide.
Leg Opening: 200mm wide.



BRAND NEW PRODUCT","SL008",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,153.82,176.89,0.0000,,,,,,SL008_1.jpg;SL008_2.jpg
"PR35","20ft - 22ft Heavy Duty Boat Cover - 2.54m Beam, Waterproof 600D Polyester Canvas","Weather Protective Canvas Boat covers 20ft - 22 Foot.

Waterproof 600D Denier Polyester Canvas and Excellent Protection against Rain, Dirt & Dust, Ultraviolet Sunshine & Leaves etc...


Suitable for Boats Measuring: 6090mm - 6700mm (20ft.-22ft.)
Compatible with all NZ V-Hull Trailer Type Power Boats and Runabouts.


COLOUR: Grey


FEATURES:
Extra Roomy Cut
Duffel Storage Bag
Beam Width: 2540mm (100 inches)
Double Stitched Seams for Long Lasting Use
Non-Scratch D-Rings for Extra Hull Protection
Special Coated Fabric for Maximum Water Resistance
Elastic Cord All-around Bottom hem to Provide a Good Fit



BRAND NEW PRODUCT","SL009",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,284.25,326.89,0.0000,,,,,,SL009_1.jpg;SL009_2.jpg
"PR36","Portable Folding Washing Station - Sink, Faucet, Camping, Outdoor Cleaning","This versatile Portable Folding Washing Station is your on-the-go cleaning solution! Ideal for food prep, washing dishes, and personal hygiene at campsites, markets, or events. Features a sink, faucet, and foldable steel legs for compact storage.

FEATURES:

Portable & Foldable: Sets up quickly, folds flat for easy transport
Contoured Sink: Perfect for washing food, dishes, or hands
Faucet with Hose: Standard garden hose connection for water supply
Flexible Waste Hose: For convenient drainage
Hygienic & Versatile: Use for cleaning, food prep, or personal care

SPECIFICATIONS:

Materials: Grey steel legs, white resin top
Dimensions (Open): 1150mm wide x 690mm deep x 1205mm high
Dimensions (Folded): 1150mm wide x 690mm deep x 65mm high
Sink Size: 270mm wide x 390mm deep x 65mm deep
Leg Diameter: 25mm

BRAND NEW","SL010",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,182.51,209.89,0.0000,,,,,,SL0010_1.jpg
"PR37","Portable Bait Board on Foldable Legs - 50cm x 40cm","Portable Bait Board - 50cm x 40cm

This Portable Bait Board is perfect for preparing bait on land. It’s UV-resistant and features foldable legs for easy storage and transport. Ideal for drone, Kon-Tiki and surf cast fishing.


FEATURES:
Portable Bait Board
50cm Wide x 40cm Deep
Ideal for Bait Preparation on Land
Tough, UV Resistant Build
Folding Legs for Easy Storage & Transport
3x Molded Slots for Knives / Tools
1x Molded Cup Holder
1x Molded Tackle Tray
Drain Hole with Hose
Perfect for Drone Fishing, Kon-Tiki & Surfcasting
Basic Assembly Required


BASIC DIMENSIONS:
Overall: 550mm wide x 450mm deep x 240mm high
Cutting Board: 500mm wide x 300mm deep



BRAND NEW PRODUCT","SL011",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,167.82,192.99,0.0000,,,,,,SL011_1.jpg;SL011_2.jpg
"PR38","Boat Fishing Rod Holder – Clamp On Rocket Launcher 6 Rods Aluminum 1.9m","Upgrade your fishing setup with this robust Aluminum Clamp-On Rocket Launcher!  Designed for easy installation on most 25mm bimini or canopy frames, it securely holds up to 6 rods with non-corrosive polymer holders.

FEATURES:

6 High-Impact, Metallic-Finish Rod Holders (Non-Corrosive)
Strong Alloy Double Knuckle Clamp for Secure Fit
Adjustable Width (up to 1.9m) - Can Be Trimmed for Custom Fit
Rated To 40 Knots
Quality, Sturdy Aluminum Frame
Easy To Install
Australian Designed
DIMENSIONS:

Overall (approx.): 1900mm wide x 1000mm high
BRAND NEW","SL012",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,270.51,311.09,0.0000,,,,,,SL012_1.jpg;SL012_2.jpg
"PR39","Jet Ski Cover 2.95m - 3.45m Water Resistant & Breathable - LARGE","Protect your investment with this durable, water-resistant jet ski cover! Made from breathable 260 GSM polyester, it shields your PWC from dust, grime, salt spray, and damaging UV rays. Easy to use with a shock cord and trailering straps.

FEATURES:

Fits Jet Skis 2.95m - 3.45m: Accommodates various styles
100% Dope Dyed Polyester (260 GSM): Durable, water-resistant, and breathable
Year-Round Protection: Perfect for storage or trailering
UV Protection: Prevents fading and sun damage
Shock Cord: Easy fitting and removal
Webbing Straps: Secure attachment for trailering


BRAND NEW","SL013",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,173.90,199.99,0.0000,,,,,,SL013_1.jpg;SL013_2.jpg
"PR40","Sit Stand Desk Riser – Adjustable Workstation 80cm, Fits 2 Screens, Ergonomic","Transform your workspace with this Adjustable Height Desk Riser! Easily switch between sitting and standing with the gas-lift mechanism for improved posture, less muscle pain, and a productivity boost.

FEATURES:

Ergonomic Design: Reduces muscle pain, burns calories, boosts productivity
Adjustable Height: 11cm to 50.5cm range for customized comfort
Spacious Work Area: 80cm x 40cm tabletop fits two monitors, keyboard, and accessories
Sturdy Construction: Holds up to 15kg
Keyboard Tray: 79.5cm x 30cm for ergonomic typing and wrist support
Effortless Adjustment: Smooth gas-lift for sit-to-stand transitions
Sits on Existing Desk: No complicated setup
DIMENSIONS:

Overall: 800mm wide x 615mm deep x 110mm - 505mm high
Tabletop Space: 800mm long x 400mm deep
Keyboard Shelf: 795mm long x 300mm deep
Note: PC shown in photos not included

BRAND NEW","SL014",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,264.44,304.11,0.0000,,,,,,SL014_1.jpg;SL014_2.jpg
"PR41","Kids Wooden Table & Chair Set - 3 Piece - White","Kids Wooden Table + Chair Set - 3 Piece - White Furniture

This 3 Piece Wooden Table and Chairs Set is ideal for children and provides stylish Scandinavian style furniture for your child's room.


FEATURES:
Children's Wooden Table & Chairs Set
3 Piece - Includes 2x Chairs & 1x Table.
Color: White
Suitable For 3+ Years Old
Materials: Pine Wood & MDF
50kg Max Load For Table & Chairs
Basic Assembly Required


BASIC DIMENSIONS:
Table: 600mm wide x 600mm deep x 420mm high
Chairs: 280mm wide x 280mm deep x 510mm high (230mm Floor to Seat)



BRAND NEW PRODUCT","SL015",,Y,Each,,,,N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,126.86,145.89,0.0000,,,,,,SL015_1.jpg
